Team,made_tournament
Air Force,False
Akron,False
Alabama,True
Alabama A&M,False
Alabama State,False
Albany (NY),False
Alcorn State,False
American,False
Appalachian State,False
Arizona,False
Arizona State,False
Arkansas,False
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,False
Austin Peay,False
Ball State,False
Baylor,True
Belmont,True
Bethune-Cookman,False
Binghamton,False
Boise State,False
Boston College,False
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,True
Brown,False
Bryant,False
Bucknell,False
Buffalo,False
Butler,False
Cal Poly,False
Cal State Bakersfield,False
Cal State Fullerton,False
Cal State Northridge,False
California,True
Campbell,False
Canisius,False
Central Arkansas,False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,False
Chattanooga,False
Chicago State,False
Cincinnati,True
Clemson,False
Cleveland State,False
Coastal Carolina,False
Colgate,False
College of Charleston,False
Colorado,True
Colorado State,True
Columbia,False
Connecticut,True
Coppin State,False
Cornell,False
Creighton,True
Dartmouth,False
Davidson,True
Dayton,False
Delaware,False
Delaware State,False
Denver,False
DePaul,False
Detroit Mercy,True
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,False
Eastern Michigan,False
Eastern Washington,False
Elon,False
Evansville,False
Fairfield,False
FDU,False
Florida,True
Florida A&M,False
Florida Atlantic,False
Florida Gulf Coast,False
Florida International,False
Florida State,True
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,False
Georgetown,True
Georgia,False
Georgia Southern,False
Georgia State,False
Georgia Tech,False
Gonzaga,True
Grambling,False
Green Bay,False
Hampton,False
Hartford,False
Harvard,True
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,False
Houston,False
Houston Christian,False
Howard,False
Idaho,False
Idaho State,False
Illinois,False
Illinois State,False
Illinois-Chicago,False
Indiana,True
Indiana State,False
Iona,True
Iowa,False
Iowa State,True
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,False
James Madison,False
Kansas,True
Kansas City,False
Kansas State,True
Kennesaw State,False
Kent State,False
Kentucky,True
La Salle,False
Lafayette,False
Lamar,True
Lehigh,True
Liberty,False
Lipscomb,False
Little Rock,False
Long Beach State,True
Long Island University,True
Longwood,False
Louisiana,False
Louisiana State,False
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,True
Loyola (IL),False
Loyola (MD),True
Loyola Marymount,False
Maine,False
Manhattan,False
Marist,False
Marquette,True
Marshall,False
Maryland,False
Maryland-Baltimore County,False
Maryland-Eastern Shore,False
Massachusetts,False
McNeese State,False
Memphis,True
Mercer,False
Miami (FL),False
Miami (OH),False
Michigan,True
Michigan State,True
Middle Tennessee,False
Milwaukee,False
Minnesota,False
Mississippi,False
Mississippi State,False
Mississippi Valley State,True
Missouri,True
Missouri State,False
Monmouth,False
Montana,True
Montana State,False
Morehead State,False
Morgan State,False
Mount St. Mary's,False
Murray State,True
Navy,False
NC State,True
Nebraska,False
Nevada,False
Nevada-Las Vegas,True
New Hampshire,False
New Mexico,True
New Mexico State,True
Niagara,False
Nicholls State,False
NJIT,False
Norfolk State,True
North Carolina,True
North Carolina A&T,False
North Carolina Central,False
North Dakota,False
North Dakota State,False
North Florida,False
North Texas,False
Northeastern,False
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,False
Northwestern,False
Northwestern State,False
Notre Dame,True
Oakland,False
Ohio,True
Ohio State,True
Oklahoma,False
Oklahoma State,False
Old Dominion,False
Oral Roberts,False
Oregon,False
Oregon State,False
Pacific,False
Penn State,False
Pennsylvania,False
Pepperdine,False
Pittsburgh,False
Portland,False
Portland State,False
Prairie View,False
Presbyterian,False
Princeton,False
Providence,False
Purdue,True
Purdue Fort Wayne,False
Quinnipiac,False
Radford,False
Rhode Island,False
Rice,False
Richmond,False
Rider,False
Robert Morris,False
Rutgers,False
Sacramento State,False
Sacred Heart,False
Saint Francis (PA),False
Saint Joseph's,False
Saint Louis,True
Saint Mary's (CA),True
Saint Peter's,False
Sam Houston,False
