Team,made_tournament
Abilene Christian,False
Air Force,False
Akron,False
Alabama,False
Alabama A&M,False
Alabama State,False
Albany (NY),True
Alcorn State,False
American,False
Appalachian State,False
Arizona,True
Arizona State,False
Arkansas,True
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,False
Austin Peay,False
Ball State,False
Baylor,True
Belmont,True
Bethune-Cookman,False
Binghamton,False
Boise State,True
Boston College,False
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,True
Brown,False
Bryant,False
Bucknell,False
Buffalo,True
Butler,True
Cal Poly,False
Cal State Bakersfield,False
Cal State Fullerton,False
Cal State Northridge,False
California,False
Campbell,False
Canisius,False
Central Arkansas,False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,False
Chattanooga,False
Chicago State,False
Cincinnati,True
Clemson,False
Cleveland State,False
Coastal Carolina,True
Colgate,False
College of Charleston,False
Colorado,False
Colorado State,False
Columbia,False
Connecticut,False
Coppin State,False
Cornell,False
Creighton,False
Dartmouth,False
Davidson,True
Dayton,True
Delaware,False
Delaware State,False
Denver,False
DePaul,False
Detroit Mercy,False
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,False
Eastern Michigan,False
Eastern Washington,True
Elon,False
Evansville,False
Fairfield,False
FDU,False
Florida,False
Florida A&M,False
Florida Atlantic,False
Florida Gulf Coast,False
Florida International,False
Florida State,False
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,False
Georgetown,True
Georgia,True
Georgia Southern,False
Georgia State,True
Georgia Tech,False
Gonzaga,True
Grambling,False
Grand Canyon,False
Green Bay,False
Hampton,True
Hartford,False
Harvard,True
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,False
Houston,False
Houston Christian,False
Howard,False
Idaho,False
Idaho State,False
Illinois,False
Illinois State,False
Illinois-Chicago,False
Incarnate Word,False
Indiana,True
Indiana State,False
Iona,False
Iowa,True
Iowa State,True
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,False
James Madison,False
Kansas,True
Kansas City,False
Kansas State,False
Kennesaw State,False
Kent State,False
Kentucky,True
La Salle,False
Lafayette,True
Lamar,False
Lehigh,False
Liberty,False
Lipscomb,False
Little Rock,False
Long Beach State,False
Long Island University,False
Longwood,False
Louisiana,False
Louisiana State,True
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,True
Loyola (IL),False
Loyola (MD),False
Loyola Marymount,False
Maine,False
Manhattan,True
Marist,False
Marquette,False
Marshall,False
Maryland,True
Maryland-Baltimore County,False
Maryland-Eastern Shore,False
Massachusetts,False
Massachusetts-Lowell,False
McNeese State,False
Memphis,False
Mercer,False
Miami (FL),False
Miami (OH),False
Michigan,False
Michigan State,True
Middle Tennessee,False
Milwaukee,False
Minnesota,False
Mississippi,True
Mississippi State,False
Mississippi Valley State,False
Missouri,False
Missouri State,False
Monmouth,False
Montana,False
Montana State,False
Morehead State,False
Morgan State,False
Mount St. Mary's,False
Murray State,False
Navy,False
NC State,True
Nebraska,False
Nevada,False
Nevada-Las Vegas,False
New Hampshire,False
New Mexico,False
New Mexico State,True
New Orleans,False
Niagara,False
Nicholls State,False
NJIT,False
Norfolk State,False
North Carolina,True
North Carolina A&T,False
North Carolina Central,False
North Dakota,False
North Dakota State,True
North Florida,True
North Texas,False
Northeastern,True
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,True
Northern Kentucky,False
Northwestern,False
Northwestern State,False
Notre Dame,True
Oakland,False
Ohio,False
Ohio State,True
Oklahoma,True
Oklahoma State,True
Old Dominion,False
Omaha,False
Oral Roberts,False
Oregon,True
Oregon State,False
Pacific,False
Penn State,False
Pennsylvania,False
Pepperdine,False
Pittsburgh,False
Portland,False
Portland State,False
Prairie View,False
Presbyterian,False
Princeton,False
Providence,True
Purdue,True
Purdue Fort Wayne,False
Quinnipiac,False
Radford,False
