Team,made_tournament
Air Force,False
Akron,False
Alabama,False
Alabama A&M,False
Alabama State,False
Albany (NY),True
Alcorn State,False
American,False
Appalachian State,False
Arizona,True
Arizona State,False
Arkansas,True
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,False
Austin Peay,False
Ball State,False
Baylor,False
Belmont,True
Bethune-Cookman,False
Binghamton,False
Boise State,False
Boston College,True
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,True
Brown,False
Bucknell,False
Buffalo,False
Butler,True
Cal Poly,False
Cal State Bakersfield,False
Cal State Fullerton,False
Cal State Northridge,False
California,False
Campbell,False
Canisius,False
Centenary (LA),False
Central Arkansas,False
Central Connecticut State,True
Central Michigan,False
Charleston Southern,False
Charlotte,False
Chattanooga,False
Chicago State,False
Cincinnati,False
Clemson,False
Cleveland State,False
Coastal Carolina,False
Colgate,False
College of Charleston,False
Colorado,False
Colorado State,False
Columbia,False
Connecticut,False
Coppin State,False
Cornell,False
Creighton,True
Dartmouth,False
Davidson,True
Dayton,False
Delaware,False
Delaware State,False
Denver,False
DePaul,False
Detroit Mercy,False
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,True
Eastern Michigan,False
Eastern Washington,False
Elon,False
Evansville,False
Fairfield,False
FDU,False
Florida,True
Florida A&M,True
Florida Atlantic,False
Florida International,False
Florida State,False
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,True
Georgetown,True
Georgia,False
Georgia Southern,False
Georgia State,False
Georgia Tech,True
Gonzaga,True
Grambling,False
Green Bay,False
Hampton,False
Hartford,False
Harvard,False
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,True
Houston,False
Howard,False
Idaho,False
Idaho State,False
Illinois,True
Illinois State,False
Illinois-Chicago,False
Indiana,True
Indiana State,False
Iona,False
Iowa,False
Iowa State,False
IU Indy,False
Jackson State,True
Jacksonville,False
Jacksonville State,False
James Madison,False
Kansas,True
Kansas City,False
Kansas State,False
Kennesaw State,False
Kent State,False
Kentucky,True
La Salle,False
Lafayette,False
Lamar,False
Lehigh,False
Liberty,False
Lipscomb,False
Little Rock,False
Long Beach State,True
Long Island University,False
Longwood,False
Louisiana,False
Louisiana State,False
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,True
Loyola (IL),False
Loyola (MD),False
Loyola Marymount,False
Maine,False
Manhattan,False
Marist,False
Marquette,True
Marshall,False
Maryland,True
Maryland-Baltimore County,False
Maryland-Eastern Shore,False
Massachusetts,False
McNeese State,False
Memphis,True
Mercer,False
Miami (FL),False
Miami (OH),True
Michigan,False
Michigan State,True
Middle Tennessee,False
Milwaukee,False
Minnesota,False
Mississippi,False
Mississippi State,False
Mississippi Valley State,False
Missouri,False
Missouri State,False
Monmouth,False
Montana,False
Montana State,False
Morehead State,False
Morgan State,False
Mount St. Mary's,False
Murray State,False
Navy,False
NC State,False
Nebraska,False
Nevada,True
Nevada-Las Vegas,True
New Hampshire,False
New Mexico,False
New Mexico State,True
New Orleans,False
Niagara,True
Nicholls State,False
NJIT,False
Norfolk State,False
North Carolina,True
North Carolina A&T,False
North Dakota State,False
North Florida,False
North Texas,True
Northeastern,False
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,False
Northwestern,False
Northwestern State,False
Notre Dame,True
Oakland,False
Ohio,False
Ohio State,True
Oklahoma,False
Oklahoma State,False
Old Dominion,True
Oral Roberts,True
Oregon,True
Oregon State,False
Pacific,False
Penn State,False
Pennsylvania,True
Pepperdine,False
Pittsburgh,True
Portland,False
Portland State,False
Prairie View,False
Princeton,False
Providence,False
Purdue,True
Purdue Fort Wayne,False
Quinnipiac,False
Radford,False
Rhode Island,False
Rice,False
Richmond,False
Rider,False
Robert Morris,False
Rutgers,False
Sacramento State,False
Sacred Heart,False
Saint Francis (PA),False
Saint Joseph's,False
Saint Louis,False
Saint Mary's (CA),False
Saint Peter's,False
Sam Houston,False
Samford,False
San Diego,False
San Diego State,False
San Francisco,False
San Jose State,False
