Team,made_tournament
Abilene Christian,False
Air Force,False
Akron,False
Alabama,True
Alabama A&M,False
Alabama State,False
Albany (NY),False
Alcorn State,False
American,False
Appalachian State,False
Arizona,True
Arizona State,True
Arkansas,True
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,True
Austin Peay,False
Ball State,False
Baylor,False
Belmont,False
Bethune-Cookman,False
Binghamton,False
Boise State,False
Boston College,False
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,False
Brown,False
Bryant,False
Bucknell,True
Buffalo,True
Butler,True
Cal Poly,False
Cal State Bakersfield,False
Cal State Fullerton,True
Cal State Northridge,False
California,False
Campbell,False
Canisius,False
Central Arkansas,False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,False
Chattanooga,False
Chicago State,False
Cincinnati,True
Clemson,True
Cleveland State,False
Coastal Carolina,False
Colgate,False
College of Charleston,True
Colorado,False
Colorado State,False
Columbia,False
Connecticut,False
Coppin State,False
Cornell,False
Creighton,True
Dartmouth,False
Davidson,True
Dayton,False
Delaware,False
Delaware State,False
Denver,False
DePaul,False
Detroit Mercy,False
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,False
Eastern Michigan,False
Eastern Washington,False
Elon,False
Evansville,False
Fairfield,False
FDU,False
Florida,True
Florida A&M,False
Florida Atlantic,False
Florida Gulf Coast,False
Florida International,False
Florida State,True
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,False
Georgetown,False
Georgia,False
Georgia Southern,False
Georgia State,True
Georgia Tech,False
Gonzaga,True
Grambling,False
Grand Canyon,False
Green Bay,False
Hampton,False
Hartford,False
Harvard,False
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,False
Houston,True
Houston Christian,False
Howard,False
Idaho,False
Idaho State,False
Illinois,False
Illinois State,False
Illinois-Chicago,False
Incarnate Word,False
Indiana,False
Indiana State,False
Iona,True
Iowa,False
Iowa State,False
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,False
James Madison,False
Kansas,True
Kansas City,False
Kansas State,True
Kennesaw State,False
Kent State,False
Kentucky,True
La Salle,False
Lafayette,False
Lamar,False
Lehigh,False
Liberty,False
Lipscomb,True
Little Rock,False
Long Beach State,False
Long Island University,True
Longwood,False
Louisiana,False
Louisiana State,False
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,False
Loyola (IL),True
Loyola (MD),False
Loyola Marymount,False
Maine,False
Manhattan,False
Marist,False
Marquette,False
Marshall,True
Maryland,False
Maryland-Baltimore County,True
Maryland-Eastern Shore,False
Massachusetts,False
Massachusetts-Lowell,False
McNeese State,False
Memphis,False
Mercer,False
Miami (FL),True
Miami (OH),False
Michigan,True
Michigan State,True
Middle Tennessee,False
Milwaukee,False
Minnesota,False
Mississippi,False
Mississippi State,False
Mississippi Valley State,False
Missouri,True
Missouri State,False
Monmouth,False
Montana,True
Montana State,False
Morehead State,False
Morgan State,False
Mount St. Mary's,False
Murray State,True
Navy,False
NC State,True
Nebraska,False
Nevada,True
Nevada-Las Vegas,False
New Hampshire,False
New Mexico,False
New Mexico State,True
New Orleans,False
Niagara,False
Nicholls State,False
NJIT,False
Norfolk State,False
North Carolina,True
North Carolina A&T,False
North Carolina Central,True
North Dakota,False
North Dakota State,False
North Florida,False
North Texas,False
Northeastern,False
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,False
Northern Kentucky,False
Northwestern,False
Northwestern State,False
Notre Dame,False
Oakland,False
Ohio,False
Ohio State,True
Oklahoma,True
Oklahoma State,False
Old Dominion,False
Omaha,False
Oral Roberts,False
Oregon,False
Oregon State,False
Pacific,False
Penn State,False
Pennsylvania,True
Pepperdine,False
Pittsburgh,False
Portland,False
Portland State,False
Prairie View,False
Presbyterian,False
Princeton,False
Providence,True
Purdue,True
Purdue Fort Wayne,False
Quinnipiac,False
Radford,True
