<<<<<<< HEAD
Team,made_tournament
Abilene Christian,False
Air Force,False
Akron,True
Alabama,True
Alabama A&M,False
Alabama State,False
Albany (NY),False
Alcorn State,False
American,False
Appalachian State,False
Arizona,True
Arizona State,False
Arkansas,True
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,True
Austin Peay,False
Ball State,False
Baylor,True
Bellarmine,False
Belmont,False
Bethune-Cookman,False
Binghamton,False
Boise State,True
Boston College,False
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,False
Brown,False
Bryant,True
Bucknell,False
Buffalo,False
Butler,False
Cal Poly,False
Cal State Bakersfield,False
Cal State Fullerton,True
Cal State Northridge,False
California,False
California Baptist,False
Campbell,False
Canisius,False
Central Arkansas,False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,False
Chattanooga,True
Chicago State,False
Cincinnati,False
Clemson,False
Cleveland State,False
Coastal Carolina,False
Colgate,True
College of Charleston,False
Colorado,False
Colorado State,True
Columbia,False
Connecticut,True
Coppin State,False
Cornell,False
Creighton,True
Dartmouth,False
Davidson,True
Dayton,False
Delaware,True
Delaware State,False
Denver,False
DePaul,False
Detroit Mercy,False
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,False
Eastern Michigan,False
Eastern Washington,False
Elon,False
Evansville,False
Fairfield,False
FDU,False
Florida,False
Florida A&M,False
Florida Atlantic,False
Florida Gulf Coast,False
Florida International,False
Florida State,False
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,False
Georgetown,False
Georgia,False
Georgia Southern,False
Georgia State,True
Georgia Tech,False
Gonzaga,True
Grambling,False
Grand Canyon,False
Green Bay,False
Hampton,False
Hartford,False
Harvard,False
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,False
Houston,True
Houston Christian,False
Howard,False
Idaho,False
Idaho State,False
Illinois,True
Illinois State,False
Illinois-Chicago,False
Incarnate Word,False
Indiana,True
Indiana State,False
Iona,False
Iowa,True
Iowa State,True
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,True
James Madison,False
Kansas,True
Kansas City,False
Kansas State,False
Kennesaw State,False
Kent State,False
Kentucky,True
La Salle,False
Lafayette,False
Lamar,False
Lehigh,False
Liberty,False
Lipscomb,False
Little Rock,False
Long Beach State,False
Long Island University,False
Longwood,True
Louisiana,False
Louisiana State,True
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,False
Loyola (IL),True
Loyola (MD),False
Loyola Marymount,False
Maine,False
Manhattan,False
Marist,False
Marquette,True
Marshall,False
Maryland,False
Maryland-Baltimore County,False
Maryland-Eastern Shore,False
Massachusetts,False
Massachusetts-Lowell,False
McNeese State,False
Memphis,True
Mercer,False
Merrimack,False
Miami (FL),True
Miami (OH),False
Michigan,True
Michigan State,True
Middle Tennessee,False
Milwaukee,False
Minnesota,False
Mississippi,False
Mississippi State,False
Mississippi Valley State,False
Missouri,False
Missouri State,False
Monmouth,False
Montana,False
Montana State,True
Morehead State,False
Morgan State,False
Mount St. Mary's,False
Murray State,True
Navy,False
NC State,False
Nebraska,False
Nevada,False
Nevada-Las Vegas,False
New Hampshire,False
New Mexico,False
New Mexico State,True
New Orleans,False
Niagara,False
Nicholls State,False
NJIT,False
Norfolk State,True
North Alabama,False
North Carolina,True
North Carolina A&T,False
North Carolina Central,False
North Dakota,False
North Dakota State,False
North Florida,False
North Texas,False
Northeastern,False
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,False
Northern Kentucky,False
Northwestern,False
Northwestern State,False
Notre Dame,True
Oakland,False
Ohio,False
Ohio State,True
Oklahoma,False
Oklahoma State,False
Old Dominion,False
Omaha,False
Oral Roberts,False
Oregon,False
Oregon State,False
Pacific,False
Penn State,False
Pennsylvania,False
Pepperdine,False
Pittsburgh,False
Portland,False
Portland State,False
Prairie View,False
Presbyterian,False
Princeton,False
