Team,made_tournament
Abilene Christian,True
Air Force,False
Akron,False
Alabama,True
Alabama A&M,False
Alabama State,False
Albany (NY),False
Alcorn State,False
American,False
Appalachian State,True
Arizona,False
Arizona State,False
Arkansas,True
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,False
Austin Peay,False
Ball State,False
Baylor,True
Bellarmine,False
Belmont,False
Binghamton,False
Boise State,False
Boston College,False
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,True
Bryant,False
Bucknell,False
Buffalo,False
Butler,False
Cal Poly,False
Cal State Bakersfield,False
Cal State Fullerton,False
Cal State Northridge,False
California,False
California Baptist,False
Campbell,False
Canisius,False
Central Arkansas,False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,False
Chattanooga,False
Chicago State,False
Cincinnati,False
Clemson,True
Cleveland State,True
Coastal Carolina,False
Colgate,True
College of Charleston,False
Colorado,True
Colorado State,False
Connecticut,True
Coppin State,False
Creighton,True
Davidson,False
Dayton,False
Delaware,False
Delaware State,False
Denver,False
DePaul,False
Detroit Mercy,False
Drake,True
Drexel,True
Duke,False
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,False
Eastern Michigan,False
Eastern Washington,True
Elon,False
Evansville,False
Fairfield,False
FDU,False
Florida,True
Florida A&M,False
Florida Atlantic,False
Florida Gulf Coast,False
Florida International,False
Florida State,True
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,False
Georgetown,True
Georgia,False
Georgia Southern,False
Georgia State,False
Georgia Tech,True
Gonzaga,True
Grambling,False
Grand Canyon,True
Green Bay,False
Hampton,False
Hartford,True
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,False
Houston,True
Houston Christian,False
Howard,False
Idaho,False
Idaho State,False
Illinois,True
Illinois State,False
Illinois-Chicago,False
Incarnate Word,False
Indiana,False
Indiana State,False
Iona,True
Iowa,True
Iowa State,False
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,False
James Madison,False
Kansas,True
Kansas City,False
Kansas State,False
Kennesaw State,False
Kent State,False
Kentucky,False
La Salle,False
Lafayette,False
Lamar,False
Lehigh,False
Liberty,True
Lipscomb,False
Little Rock,False
Long Beach State,False
Long Island University,False
Longwood,False
Louisiana,False
Louisiana State,True
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,False
Loyola (IL),True
Loyola (MD),False
Loyola Marymount,False
Maine,False
Manhattan,False
Marist,False
Marquette,False
Marshall,False
Maryland,True
Maryland-Baltimore County,False
Massachusetts,False
Massachusetts-Lowell,False
McNeese State,False
Memphis,False
Mercer,False
Merrimack,False
Miami (FL),False
Miami (OH),False
Michigan,True
Michigan State,True
Middle Tennessee,False
Milwaukee,False
Minnesota,False
Mississippi,False
Mississippi State,False
Mississippi Valley State,False
Missouri,True
Missouri State,False
Monmouth,False
Montana,False
Montana State,False
Morehead State,True
Morgan State,False
Mount St. Mary's,True
Murray State,False
Navy,False
NC State,False
Nebraska,False
Nevada,False
Nevada-Las Vegas,False
New Hampshire,False
New Mexico,False
New Mexico State,False
New Orleans,False
Niagara,False
Nicholls State,False
NJIT,False
Norfolk State,True
North Alabama,False
North Carolina,True
North Carolina A&T,False
North Carolina Central,False
North Dakota,False
North Dakota State,False
North Florida,False
North Texas,True
Northeastern,False
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,False
Northern Kentucky,False
Northwestern,False
Northwestern State,False
Notre Dame,False
Oakland,False
Ohio,True
Ohio State,True
Oklahoma,True
Oklahoma State,True
Old Dominion,False
Omaha,False
Oral Roberts,True
Oregon,True
Oregon State,True
Pacific,False
Penn State,False
Pepperdine,False
Pittsburgh,False
Portland,False
Portland State,False
Prairie View,False
Presbyterian,False
Providence,False
Purdue,True
Purdue Fort Wayne,False
Quinnipiac,False
Radford,False
Rhode Island,False
Rice,False
Richmond,False
Rider,False
Robert Morris,False
Rutgers,True
Sacramento State,False
Sacred Heart,False
Saint Francis (PA),False
Saint Joseph's,False
Saint Louis,False
Saint Mary's (CA),False
Saint Peter's,False
Sam Houston,False
Samford,False
San Diego,False
San Diego State,True
San Francisco,False
San Jose State,False
Santa Clara,False
Seattle,False
Seton Hall,False
Siena,False
South Alabama,False
South Carolina,False
South Carolina State,False
South Carolina Upstate,False
South Dakota,False
South Dakota State,False
South Florida,False
Southeast Missouri State,False
Southeastern Louisiana,False
Southern,False
Southern California,True
Southern Illinois,False
SIU Edwardsville,False
Southern Methodist,False
Southern Mississippi,False
Southern Utah,False
St. Bonaventure,True
St. Francis (NY),False
St. John's (NY),False
Stanford,False
Stephen F. Austin,False
Stetson,False
Stony Brook,False
Syracuse,True
Tarleton State,False
TCU,False
Temple,False
Tennessee,True
Tennessee State,False
Tennessee Tech,False
Tennessee-Martin,False
Texas,True
Texas A&M,False
Texas A&M-Corpus Christi,False
Texas Southern,True
Texas State,False
Texas Tech,True
Texas-Rio Grande Valley,False
The Citadel,False
Toledo,False
Towson,False
Troy,False
Tulane,False
Tulsa,False
UAB,False
UC Davis,False
UC Irvine,False
UC Riverside,False
UC San Diego,False
UC Santa Barbara,True
UCF,False
UCLA,True
UNC Asheville,False
UNC Greensboro,True
UNC Wilmington,False
UT Arlington,False
Utah,False
Utah State,True
Utah Tech,False
Utah Valley,False
UTEP,False
UTSA,False
Valparaiso,False
Vanderbilt,False
Vermont,False
Villanova,True
Virginia,True
Virginia Commonwealth,True
VMI,False
Virginia Tech,True
Wagner,False
Wake Forest,False
Washington,False
Washington State,False
Weber State,False
West Virginia,True
Western Carolina,False
Western Illinois,False
Western Kentucky,False
Western Michigan,False
Wichita State,True
William & Mary,False
Winthrop,True
Wisconsin,True
Wofford,False
Wright State,False
Wyoming,False
Xavier,False
Youngstown State,False
