<<<<<<< HEAD
Team,made_tournament
Air Force,True
Akron,False
Alabama,True
Alabama A&M,False
Alabama State,True
Albany (NY),False
Alcorn State,False
American,False
Appalachian State,False
Arizona,True
Arizona State,False
Arkansas,False
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,False
Austin Peay,False
Ball State,False
Baylor,False
Belmont,False
Bethune-Cookman,False
Binghamton,False
Birmingham-Southern,False
Boise State,False
Boston College,True
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,True
Brown,False
Bucknell,False
Buffalo,False
Butler,False
Cal Poly,False
Cal State Fullerton,False
Cal State Northridge,False
California,False
Campbell,False
Canisius,False
Centenary (LA),False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,True
Chattanooga,False
Chicago State,False
Cincinnati,True
Clemson,False
Cleveland State,False
Coastal Carolina,False
Colgate,False
College of Charleston,False
Colorado,False
Colorado State,False
Columbia,False
Connecticut,True
Coppin State,False
Cornell,False
Creighton,False
Dartmouth,False
Davidson,False
Dayton,True
Delaware,False
Delaware State,False
Denver,False
DePaul,True
Detroit Mercy,False
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,True
Eastern Illinois,False
Eastern Kentucky,False
Eastern Michigan,False
Eastern Washington,True
Elon,False
Evansville,False
Fairfield,False
FDU,False
Florida,True
Florida A&M,True
Florida Atlantic,False
Florida International,False
Florida State,False
Fordham,False
Fresno State,False
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,False
Georgetown,False
Georgia,False
Georgia Southern,False
Georgia State,False
Georgia Tech,True
Gonzaga,True
Grambling,False
Green Bay,False
Hampton,False
Hartford,False
Harvard,False
Hawaii,False
High Point,False
Hofstra,False
Holy Cross,False
Houston,False
Howard,False
Idaho,False
Idaho State,False
Illinois,True
Illinois State,False
Illinois-Chicago,True
Indiana,False
Indiana State,False
Iona,False
Iowa,False
Iowa State,False
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,False
