Team,made_tournament
Saint Peter's,False
Sam Houston,True
Samford,False
San Diego,False
San Diego State,True
San Francisco,False
San Jose State,False
Santa Clara,False
Savannah State,False
Seattle,False
Seton Hall,False
Siena,True
South Alabama,False
South Carolina,False
South Carolina State,False
South Carolina Upstate,False
South Dakota,False
South Dakota State,False
South Florida,False
Southeast Missouri State,False
Southeastern Louisiana,False
Southern,False
Southern California,False
Southern Illinois,False
SIU Edwardsville,False
Southern Methodist,False
Southern Mississippi,False
Southern Utah,False
St. Bonaventure,False
St. Francis (NY),False
St. John's (NY),False
Stanford,False
Stephen F. Austin,False
Stetson,False
Stony Brook,False
Syracuse,True
TCU,False
Temple,True
Tennessee,True
Tennessee State,False
Tennessee Tech,False
Tennessee-Martin,False
Texas,True
Texas A&M,True
Texas A&M-Corpus Christi,False
Texas Southern,False
Texas State,False
Texas Tech,False
Texas-Rio Grande Valley,False
The Citadel,False
Toledo,False
Towson,False
Troy,False
Tulane,False
Tulsa,False
UAB,False
UC Davis,False
UC Irvine,False
UC Riverside,False
UC Santa Barbara,True
UCF,False
UCLA,False
UNC Asheville,False
UNC Greensboro,False
UNC Wilmington,False
UT Arlington,False
Utah,False
Utah State,True
Utah Valley,False
UTEP,True
UTSA,False
Valparaiso,False
Vanderbilt,True
Vermont,True
Villanova,True
Virginia,False
Virginia Commonwealth,False
VMI,False
Virginia Tech,False
Wagner,False
Wake Forest,True
Washington,True
Washington State,False
Weber State,False
West Virginia,True
Western Carolina,False
Western Illinois,False
Western Kentucky,False
Western Michigan,False
Wichita State,False
William & Mary,False
Winston-Salem,False
Winthrop,True
Wisconsin,True
Wofford,True
Wright State,False
Wyoming,False
Xavier,True
Yale,False
Youngstown State,False
